Romania,Bucharest,79335.545,89984.513,158861.774,196617.206
Bulgaria,Sofia,44128.678,43530.957,75763.887,77487.377
Malta,Valletta,2618.238,2064.521,2178.198,1023.093
Slovakia,Bratislava,15427.069,14396.642,No data,No data
Hungary,Budapest,50747.613,55811.74,69614.328,86860.229
Poland,Warsaw,317081.823,299278.538,368397.821,464575.897
Latvia,Riga,8313.089,6241.234,No data,No data
Croatia,Zagreb,20890.899,19644.119,No data,No data
Luxembourg,Luxembourg,10967.997,8239.749,10003.576,11026.669
Netherlands,Amsterdam,181927.204,165356.031,158403.399,177508.469
United Kingdom,London,492192.074,541799.25,555902.532,579290.658
Greece,Athens,86717.216,91616.328,74278.752,51429.675
Lithuania,Vilnius,13377.216,12200.109,No data,No data
France,Paris,357437.158,364063.427,375632.812,505363.938
Belgium,Brussels,109093.25,114894.444,106049.64,135301.299
Denmark,Copenhagen,46570.9,51330.666,50230.566,60369.821
Ireland,Dublin,40175.652,41235.415,31242.84,26255.72
Germany,Berlin,750697.239,829977.779,No data,No data
Austria,Vienna,67975.179,62188.653,57722.247,52306.088
Italy,Rome,405361.181,450564.29,417550.289,388969.691
Portugal,Lisbon,49588.841,62966.057,42196.169,26985.453
Slovenia,Ljubljana,15427.069,14396.642,No data,No data
Spain,Madrid,270881.29,294434.431,218597.204,215003.544
Sweden,Stockholm,52573.779,49350.486,51946.722,71759.523
Czech Republic,Prague,111168.772,123684.243,No data,No data
Estonia,Tallinn,18338.667,15181.38,No data,No data
Finland,Helsinki,61843.955,52427.099,51745.037,58246.628
Cyprus,Nicosia,7708.034,6849.956,4653.423,3208.625
Kosovo ,Pristina,No data,No data,No data,No data
Turkey,Ankara,298002.422,216151.315,145858.592,75763.887
Macedonia,Skopje,8602.782,12064.43,No data,No data
Albania,Tirana,4415.068,3021.608,7488.014,5170.47
Republic of Serbia,Belgrade,45877.837,No data,No data,No data
Liechtenstein,Vaduz,58.672,No data,No data,No data
Bosnia and Herzegovina ,Sarajevo,21147.589,13787.92,No data,No data
Montenegro,Podgorica,2581.568,No data,No data,No data
Switzerland,Bern,38752.856,39049.883,42610.54,40538.685
Norway,Oslo,56794.496,38730.854,31385.853,36592.993
Iceland,Reykjavik,1961.845,2163.53,1998.515,1866.503
Russia,Moscow,1742540.065,1558111.967,No data,No data
Belarus,Minsk,62221.656,53468.527,No data,No data
Ukraine,Kiev,304496.679,320774.492,No data,No data
Moldova,Chisinau,4935.782,3512.986,No data,No data
