Romania,Bucharest,36,41,35,36
Bulgaria,Sofia,36,41,33,35
Malta,Valletta,37,39,36,33
Slovakia,Bratislava,35,37,34,32
Hungary,Budapest,34,38,34,32
Poland,Warsaw,35,35,28,26
Latvia,Riga,33,31,35,No data
Croatia,Zagreb,36,38,No data,No data
Luxembourg,Luxembourg,35,30,33,30
Netherlands,Amsterdam,33,33,34,28
United Kingdom,London,31,31,36,29
Greece,Athens,37,No data,No data,No data
Lithuania,Vilnius,33,No data,No data,No data
France,Paris,33,32,37,31
Belgium,Brussels,33,32,35,30
Denmark,Copenhagen,29,30,27,26
Ireland,Dublin,23,25,29,21
Germany,Berlin,37,34,32,31
Austria,Vienna,33,37,32,31
Italy,Rome,38,38,54,36
Portugal,Lisbon,39,37,39,35
Slovenia,Ljubljana,34,33,33,32
Spain,Madrid,37,38,39,39
Sweden,Stockholm,31,25,27,26
Czech Republic,Prague,34,33,33,31
Estonia,Tallinn,32,No data,No data,No data
Finland,Helsinki,31,28,29,No data
Cyprus,Nicosia,35,37,32,33
Kosovo ,Pristina,36,No data,No data,No data
Turkey,Ankara,38,41,33,39
Macedonia,Skopje,38,41,37,38
Albania,Tirana,37,40,36,36
Republic of Serbia,Belgrade,37,41,35,33
Liechtenstein,Vaduz,33,29,No data,No data
Bosnia and Herzegovina ,Sarajevo,36,39,32,34
Montenegro,Podgorica,38,40,38,No data
Switzerland,Bern,34,30,32,No data
Norway,Oslo,24,25,26,28
Iceland,Reykjavik,20,19,20,23
Russia,Moscow,38,29,29,30
Belarus,Minsk,35,32,No data,No data
Ukraine,Kiev,38,36,29,30
Moldova,Chisinau,37,38,37,No data
